movie_name,area_code,region_name,mapping_type,evidence,confidence,trending_score
정말 먼 곳,32,강원,SHOT,"강원 화천 목장 실촬영 가족 드라마",3,52.0
정말 먼 곳,33,충북,BACKGROUND,"충북 산지 목장 정서 공감",2,42.0
찬실이는 복도 많지,1,서울,SHOT,"서울 신림·봉천 달동네 실촬영",4,62.0
찬실이는 복도 많지,31,경기,BACKGROUND,"경기 외곽 이사 장면",2,40.0
남매의 여름밤,1,서울,SHOT,"서울 은평·수유 단독주택 실촬영",4,60.0
남매의 여름밤,31,경기,BACKGROUND,"경기 외곽 고향집 정서",2,42.0
윤희에게,32,강원,SHOT,"일본 홋카이도 + 강원 정서 로드무비",3,52.0
윤희에게,36,경남,SHOT,"경남 출발 + 일본 오타루",2,44.0
벌새,31,경기,BACKGROUND,"수도권 중학생 일상 정서",2,46.0
벌새,33,충북,BACKGROUND,"충북 외가 방학 장면",2,40.0
극한직업,31,경기,BACKGROUND,"수원왕갈비통닭 모티브 경기 배경",3,62.0
극한직업,6,부산,BACKGROUND,"부산 지점 냉동창고 장면 일부",2,46.0
범죄도시4,6,부산,BACKGROUND,"부산 광안리 일부 + 필리핀",2,50.0
범죄도시4,31,경기,BACKGROUND,"경기 시흥·안산 조직 배경",2,48.0
서울의 봄,6,부산,BACKGROUND,"부산 해군작전사 일부 언급",2,40.0
변호인,7,울산,SHOT,"부림사건·울산 공단 당시 재현",4,76.0
국제시장,7,울산,BACKGROUND,"산업화 시대 울산 공업단지 묘사",3,62.0
해적: 도깨비 깃발,7,울산,BACKGROUND,"울산 앞바다·조선소 로케",3,56.0
1987,7,울산,BACKGROUND,"민주화 운동 울산 지역 묘사",3,58.0
연평해전,7,울산,BACKGROUND,"해군 장병 배경 + 울산 출신 인물",2,48.0
감시자들,7,울산,BACKGROUND,"산업도시 추격씬 일부",2,42.0
외계+인 1부,7,울산,BACKGROUND,"울산 공단 일부 + 가상 미래 도시",2,40.0
내부자들,8,세종,SHOT,"세종 정부청사 정치 스릴러 배경",4,74.0
검사외전,8,세종,BACKGROUND,"세종 검찰청 암시 + 서울 교도소",3,58.0
남산의 부장들,8,세종,BACKGROUND,"정부부처 행정도시 상징",3,54.0
더 킹,8,세종,BACKGROUND,"권력 구도 내 세종시 등장",2,50.0
베테랑2,8,세종,BACKGROUND,"행정수도 재벌 수사 배경",2,48.0
비상선언,8,세종,BACKGROUND,"국토부·중앙정부 대응 배경",2,42.0
조작된 도시,3,대전,SHOT,"대전 엑스포 다리·카이스트 인근 촬영",3,62.0
은교,3,대전,SHOT,"대전 유성 한옥마을 로케",3,56.0
기억의 밤,3,대전,SHOT,"대전 주택가·골목 추리극 실촬영",3,54.0
아가씨,3,대전,BACKGROUND,"근대 건축 + 대전 일대 저택 배경",2,48.0
소수의견,3,대전,BACKGROUND,"법원·대전 가정법원 법정 배경",2,46.0
왕의 남자,3,대전,BACKGROUND,"충청 일대 사극 로케 순회",2,42.0
다만 악에서 구하소서,3,대전,BACKGROUND,"고속철 환승 추격씬 일부",2,40.0
건축학개론,34,충남,SHOT,"태안·보령 바닷가 첫사랑 장면 실촬영",5,78.0
해무,34,충남,SHOT,"당진 어촌 원양어선 실화 배경",4,66.0
마이웨이,34,충남,BACKGROUND,"공주 민속마을 + 광복 전후 서사",2,48.0
더 폰,34,충남,BACKGROUND,"아산 신도시 스릴러 배경",2,44.0
덕혜옹주,34,충남,BACKGROUND,"공주 한옥·근대사 배경",2,42.0
사바하,34,충남,BACKGROUND,"예산 사찰 + 오컬트 스릴러",3,52.0
국가부도의 날,34,충남,BACKGROUND,"IMF 충청 지방은행 모티브",2,40.0
말아톤,33,충북,SHOT,"청주·충주 마라톤 대회 로케",3,60.0
국가대표,33,충북,BACKGROUND,"충북 진천선수촌 훈련 장면",3,56.0
밀양,33,충북,BACKGROUND,"지방 소도시 상실과 용서 정서",2,44.0
도가니,5,광주,BACKGROUND,"광주 시민사회 연대 서사",3,56.0
박하사탕,5,광주,BACKGROUND,"5.18 당시 군인 파견 회상 장면",4,68.0
남영동1985,5,광주,BACKGROUND,"광주 출신 운동가 고문 실화",3,54.0
